DE CLERCQ Naud,STARBIKES - VISTABUILD,BEL,
WESTOVER Finn,TEAM BOOGER,USA,
LUKŠAS Dovydas,Lithuanian CX National Team,LTU,
LEMBRECHTS Ruben,DLS INVIGO,BEL,
SOETE Daan,RIDLEY RACING TEAM,BEL,
BAERS Arne,LOTTO DEVELOPMENT TEAM,BEL,
VANHOUDT Yoren,CYCLIS - VAN DEN PLAS CYCLING TEAM,BEL,
MEEUSEN Tom,CYCLIS - VAN DEN PLAS CYCLING TEAM,BEL,
PAPI Lennox,CT TOPROAD ROESERBANN,LUX,
SOONTJENS Arthur,CYCLIS - VAN DEN PLAS CYCLING TEAM,BEL,
OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,
VILLAR THIERY Aubin,EC CHATEAU THIERRY,FRA,
BRISEBOIS Remi,Cycling Canada,CAN,
MAILLEFER Simon,Vélo Club Vevey,SUI,
GOOVAERTS Jarne,WOUTIM-DEXTERS SPORT,BEL,
GUÉRIN Morgan,PSP INTERNATIONAL SUPERIOR CYCLING TEAM,SUI,
RIJVERS Max,RB ZELFBOUW UCT,NED,
MOURIS Michiel,RED BULL-BORA-HANSGROHE,NED,
FERY Florian,VTT FUN CLUB,FRA,
SAVIGNARD Mael,VELO SPRINT ANOULD,FRA,
ROMAIN Emilien,ROUSSY BIKE CLUB,FRA,
FERNANDEZ DE LA PEÑA AGUIRF,ZIKLOKROSEROAK TXIRRINDULARITZA KLUBA,ESP,
GÓMEZ VEGA Marcos,BIERZO LACIANO CDC,ESP,
GARNIER Léo,Team Prof Raiffeisen CCL,SUI,
JOCHEMS Jelte,VOLHARDING CYCLING TEAM,NED,
LOETE Hippolyte,ES ARQUES CYCLISME,FRA,
TAJIMA Ayato,SNEI,JPN,
SMITS Rune,CYCLIS - VAN DEN PLAS CYCLING TEAM,BEL,
GEENS Keano,WOUTIM-DEXTERS SPORT,BEL,
CARDIJN Jorre,GMS CYCLING TEAM GLABBEEK,BEL,
VAN LOOY Stan,WAC TEAM VZW,BEL,
MERTENS Jonas,T&T MTB RACING TEAM,BEL,
JACOBY François,BRUSSELS CYCLING CLUB,BEL,
BOSMANS Ruben,SPORT EN MOEDIG GENK,BEL,
IVENS Vince,KZLWC - AE,BEL,
CROKET Maxime,DESCHACHT-HENS CX TEAM,BEL,
VROLIX Yarne,VAN GORP PROJECTS - CYCLING TEAM ZANDHOVEN,BEL,
AKERS Oliver,GARDEN SHED UK-SCOTT-VERGESPORT,GBR,
SYDLIK Benjamin,SC WEGBERG,GER,
ERRENS Sam,MTB CLUB DISCOVERY,NED,
NYSTROM SPENCER Felipe Timo,COSTA RICA TEAM,CRC,
