Nr,Naam,UCI ID,Nat,Club,UCI Rank,series_name,race_name,race_date,race_location,race_id,category_full,rider_name
5.0,BENTVELD Leonie,10023336564,NED,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,12.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BENTVELD Leonie
6.0,BROUWERS Julie,10065009885,BEL,CHARLES-LIÉGEOIS ROASTERY CX,13.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BROUWERS Julie
7.0,VAN ALPHEN Aniek,10015541303,NED,SEVEN RACING,14.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,VAN ALPHEN Aniek
8.0,CLAUZEL Hélène,10009876806,FRA,INDIVIDUEEL,15.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,CLAUZEL Hélène
9.0,BETSEMA Denise,10007654694,NED,DE CEUSTER - BOUWPUNT,16.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BETSEMA Denise
10.0,FOUQUENET Amandine,10066772861,FRA,ARKEA - B&B HOTELS WOMAN,17.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,FOUQUENET Amandine
11.0,PEETERS Jinse,10011141442,BEL,DE CEUSTER - BOUWPUNT,38.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,PEETERS Jinse
12.0,KAY Anna,10015470672,GBR,ESSEC CYCLING TEAM,39.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,KAY Anna
13.0,HARTOG Larissa,10022713946,NED,ORANGE BABIES CYCLING TEAM,64.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,HARTOG Larissa
14.0,MOLENGRAAF Lauren,10023352126,NED,CHARLES-LIÉGEOIS ROASTERY CX,70.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,MOLENGRAAF Lauren
15.0,CLAUZEL Perrine,10007703194,FRA,AS BIKE CROSS TEAM,72.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,CLAUZEL Perrine
16.0,DE BEER Jamie,10155432174,NED,TWC HET SNELLE WIEL BESTRONICS,86.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,DE BEER Jamie
17.0,VERVLOET Sterre,10065040807,BEL,DESCHACHT-HENS CX TEAM,105.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,VERVLOET Sterre
18.0,DE SCHOESITTER Shanyl,10065150941,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,115.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,DE SCHOESITTER Shanyl
19.0,MOES Noï,10023186418,NED,WV SCHIJNDEL,129.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,MOES Noï
20.0,MOORS Fleur,10103395718,BEL,BALOISE GLOWI LIONS,149.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,MOORS Fleur
21.0,HLADÍKOVÁ Kateřina,10047765309,CZE,BRILON RACING TEAM,175.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,HLADÍKOVÁ Kateřina
22.0,SONNEMANS Sara,10023188943,NED,WV SCHIJNDEL,189.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,SONNEMANS Sara
23.0,WENZEL Liv,10035000513,LUX,HESS CYCLING TEAM,197.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,WENZEL Liv
24.0,DE RAEDEMAEKER Alexe,10099080329,BEL,ESSEC CYCLING TEAM,279.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,DE RAEDEMAEKER Alexe
25.0,BAELE Lotte,10075241567,BEL,DE CEUSTER - BOUWPUNT,303.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BAELE Lotte
26.0,HOEFMANS Pem,10023153375,NED,WATERSLEY R D CYCLING TEAM,443.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,HOEFMANS Pem
27.0,MOS Anniek,10085934203,NED,WSV DE PEDDELAARS,478.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,MOS Anniek
28.0,SEYNAVE Ilken,10065162964,BEL,DESCHACHT-HENS CX TEAM,539.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,SEYNAVE Ilken
29.0,BLIECK Phebe,10070890715,BEL,ACROG-TORMANS,584.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BLIECK Phebe
30.0,SCHOLLAERT Shanaya Esther,10108561168,BEL,BALOISE MINIMAX WB LADIES,706.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,SCHOLLAERT Shanaya Esther
31.0,VISSENBERG Febe,10086541663,BEL,WOUTIM-DEXTERS SPORT,748.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,VISSENBERG Febe
32.0,BAS Selena,10023192478,NED,ACROG-TORMANS,800.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BAS Selena
33.0,LEYSSENS Mart,10065253496,BEL,ACROG-TORMANS,810.0,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,LEYSSENS Mart
34.0,CROUX Bieke,10128526600,BEL,RK CYCLING TEAM,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,CROUX Bieke
35.0,DE CUYPER Emily,10098755983,BEL,SUPER HELP - EVIL EYE,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,DE CUYPER Emily
36.0,COPPELMANS Fenny,10023203390,NED,TALENT CYCLING,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,COPPELMANS Fenny
37.0,KOOREMANS Britt,10148782119,BEL,KEUKENS REDANT CYCLING TEAM,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,KOOREMANS Britt
38.0,POLFLIET Alana,10115279834,BEL,NEVER GIVE UP BY JOLIEN VERSCHUEREN,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,POLFLIET Alana
39.0,LENFERINK Femke,10107712622,NED,AWV DE ZWALUWEN,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,LENFERINK Femke
40.0,PARTHOENS Yana,10135754817,BEL,VELOPRO - ALPHAMOTORHOMES,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,PARTHOENS Yana
41.0,BUURMEIJER Mirthe,10069095912,NED,WSV DE PEDDELAARS,,,Telenet Superprestige AARDBEIENCROSS-MERKSPLAS 15:11:2025,,,unknown_standalone_telenet-superprestige-aardbeiencross-merksplas-15-11-2025_noloc,Women Elite,BUURMEIJER Mirthe
1.0,SVOBODA David,10047109850,CZE,BRILON RACING TEAM MB,13.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,SVOBODA David
2.0,HEEREN Delano,10045767311,NED,ACROG TORMANS,18.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,HEEREN Delano
3.0,LIPPENS Brent,10106047656,BEL,C.T. KEUKENS BUYSSE KNESSELARE VZW,27.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,LIPPENS Brent
4.0,VAN LEE Jari,10065219649,BEL,BIOMETRIC - CANYON CT,28.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,VAN LEE Jari
5.0,OSAER Emiel,10074876708,BEL,STARBIKES - VISTABUILD,36.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,OSAER Emiel
6.0,SMITS Maxime,10108174380,BEL,ACROG-TORMANS,58.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,SMITS Maxime
7.0,VAN HOOF Kai,10059748041,NED,TWC HET SNELLE WIEL,61.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,VAN HOOF Kai
8.0,DE PEUTER Toon,10065230763,BEL,UCT CYCLING TEAM,62.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,DE PEUTER Toon
9.0,JANSSENS Arthur,10065223588,BEL,GOLAZO YOUNG LIONS,69.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,JANSSENS Arthur
10.0,DECLERCQ Matteo,10085069788,BEL,"WIELERCLUB ""ONDER - ONS PARIKE"" VZW",80.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,DECLERCQ Matteo
11.0,SPRANGERS Seppe,10112980631,BEL,ACROG-TORMANS,84.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,SPRANGERS Seppe
12.0,BEETGE Tanner,10147572548,GBR,DONOVAN RACING DEVELOPMENT,100.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,BEETGE Tanner
13.0,ROIJACKERS Matt,10096529532,NED,ZZPR ORANGE BABIES CYCLING TEAM,109.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,ROIJACKERS Matt
14.0,GEERTS Len,10077916848,BEL,WAC TEAM VZW,119.0,,X2O BADKAMERS TROFEE RECTAVIT-FLANDRIENCROSS-HAMME 16:11:2025,,,unknown_standalone_x2o-badkamers-trofee-rectavit-flandriencross-hamme-16-11-2025_noloc,,GEERTS Len
