Rank,Rider,Nation,Team,Age,Points,
68,MOLENGRAAF Lauren,NED,CHARLES LIÉGEOIS ROASTERY CX,21,313,
69,FERRI Elisa,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,19,313,
70,BRANDAU Elisabeth,GER,,41,311,
71,GROSSMANN Anja,SUI,,18,298,
72,VAN SINAEY Xaydee,BEL,CRELAN-CORENDON,21,283,
73,PATIÑO VILLANUEVA Lorena,ESP,,19,278,
74,HICKEY Cassidy,USA,,23,272,
75,DRAKE Ffion,GBR,,27,271,
76,HEIGL Nadja,AUT,KTM SPADA POWERED BY BRENTA BRAKES,30,265,
77,WATSON Ada,USA,,18,265,
78,CLAUZEL Perrine,FRA,SEBMOTOBIKES CX TEAM,32,264,
79,GROHOVÁ Lucie,CZE,,18,259,
80,LISBYGD Ann-Dorthe,DEN,,42,252,
81,ESTERMANN Rebekka,SUI,,27,244,
82,FERGUSON Cat,GBR,,20,238,
83,ROCHE Zoe,GBR,,18,233,
84,BUDDE Kaija,GER,PURE ENERGY DRINK / HARO BIKES BY COREGO,20,231,
85,DE BEER Jamie,NED,,29,225,
86,LINTON Aida,USA,,17,222,
87,JOCHEMS Nynke,NED,,17,221,
88,WONG Esther,IRL,,20,218,
89,SARKISOV Alyssa,USA,CXD TREK BIKES,19,216,
90,VALADE Alexandra,FRA,,21,214,
91,HURTELOUP Adèle,FRA,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,22,212,
92,BIANCHI Elisa,ITA,,18,212,
93,KELLERMAN Makena,USA,,22,212,
94,PEETERS Zita,BEL,,18,210,
95,GARNIER Noemie,FRA,,25,206,
96,BARTHELS Maïté,LUX,,25,201,
97,BRUCHNER Regina,HUN,,20,200,
98,PETITGIRARD Marlène,FRA,,38,198,
99,GOTTWALDOVÁ Amálie,CZE,,19,196,
100,PICHON Laly,FRA,,18,196,
101,COTXI OLARTEKOETXEA Mirari,ESP,,18,195,
102,LECHNER Eva,ITA,,41,193,
103,GONZALEZ BLANCO Alicia,ESP,NESTA - MMR CYLING TEAM,31,193,
104,SHEA Amelia,USA,,36,191,
105,LAMBERT Zélie,FRA,,18,190,
106,SONNEMANN Lyllie,USA,CXD TREK BIKES,19,190,
107,MOORE Elly,CAN,,18,189,
108,VERVLOET Sterre,BEL,DESCHACHT-HENS CX TEAM,23,188,
109,KNOX Peggy,GBR,,17,188,
110,OLANO AROZENA Maier,ESP,,19,185,
111,HAVILAND Alexa,CAN,,17,176,
112,KABETAJ Nelia,ALB,ALE COLNAGO TEAM,20,171,
113,FONTANA Beatrice,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,22,170,
114,GUTIERREZ VELARDE Aitana,ESP,,18,162,
115,ARANGUREN CARBAYEDA Irati,ESP,,19,160,
116,DE SCHOESITTER Shanyl,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,20,159,
117,LOPEZ BURGOS Ana,ESP,,19,158,
118,BAKER Aldeney,GBR,,25,158,
119,SARKISOV Katherine,USA,CXD TREK BIKES,22,157,
120,MACLEAN-HOWELL Ella,GBR,HEIZOMAT - CUBE,22,155,
